Epoch,Training Loss,Validation Loss
1,0.009168213233351707,0.0052610039710998535
2,0.001486249384470284,0.0017832765588536859
3,0.0012317294022068381,0.0021484559401869774
4,0.0011788967531174421,0.0017541678389534354
5,0.0010192770278081298,0.0016888492973521352
6,0.0009401576826348901,0.0013045982923358679
7,0.0009418607805855572,0.0028809409122914076
8,0.0008232640102505684,0.00122061837464571
9,0.0008835896151140332,0.0011154067469760776
10,0.0008026533178053796,0.001114027458243072
11,0.0008078443934209645,0.0018444352317601442
12,0.0008023990085348487,0.0016315722605213523
13,0.0007165735587477684,0.0009660060168243945
14,0.0007529223221354187,0.0013334696413949132
15,0.0006309744203463197,0.001355498330667615
16,0.0007120422087609768,0.0017044083215296268
17,0.000720345473382622,0.0011747516691684723
18,0.000671037589199841,0.0013073033187538385
19,0.0006648890557698905,0.0009395335800945759
20,0.0007166300783865154,0.001080853515304625
21,0.000618303136434406,0.00109542952850461
22,0.0006943197804503143,0.0010944823734462261
23,0.0006150449044071138,0.001772919436916709
24,0.0006331289769150317,0.0011116655077785254
25,0.0005987308104522526,0.0020979864057153463
26,0.000585501198656857,0.0008834255277179182
27,0.0005865791463293135,0.0020234319381415844
28,0.0005712591810151935,0.001322729978710413
29,0.0005926127778366208,0.0018561499891802669
30,0.0005565010942518711,0.000990022555924952
31,0.0005551486392505467,0.0008907137089408934
32,0.0005695941508747637,0.0014032121980562806
33,0.0005627282662317157,0.0011019579833373427
34,0.0004958217032253742,0.000925603264477104
35,0.0005133698577992618,0.0014520168770104647
36,0.0005071019404567778,0.0016162031097337604
37,0.0005031781038269401,0.0006424883031286299
38,0.00047823478234931827,0.000676511786878109
39,0.0004927382105961442,0.0007172336336225271
40,0.0004916932666674256,0.0015614507719874382
41,0.00046672328608110547,0.000997277908027172
42,0.00046225712867453694,0.0006467346101999283
43,0.0004725553444586694,0.0006424140883609653
44,0.0004935430479235947,0.0009285288979299366
45,0.00047504910617135465,0.0011060830438509583
46,0.00047366294893436134,0.0006819736445322633
47,0.00045320007484406233,0.0007795641431584954
48,0.0004574710037559271,0.0007079896749928594
49,0.00046006901538930833,0.0005565377650782466
50,0.00045613854308612645,0.0006403708830475807
